trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_541174_b_27473_tn_1,06:10:28,06:10:28,2506391,4,,0,0,1604.94361829504,0,,,,,1,1,,,,,,,,,,,
t_541174_b_27473_tn_1,06:15:00,06:15:00,2506389,5,,0,0,2180.88275218645,0,,,,,1,1,,,,,,,,,,,
t_541174_b_27473_tn_1,06:17:44,06:17:44,2506386,6,,0,0,2576.67630137966,0,,,,,1,1,,,,,,,,,,,
t_541174_b_27473_tn_1,06:19:12,06:19:12,2506394,7,,0,0,2790.87750692737,0,,,,,1,1,,,,,,,,,,,
t_541174_b_27473_tn_1,06:21:00,06:21:00,2506397,8,,0,0,3049.93043318,1,,,,,1,1,,,,,,,,,,,
t_541174_b_27473_tn_10,13:13:00,13:13:00,2506390,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_541174_b_27473_tn_10,13:15:48,13:15:48,2506388,2,,0,0,544.100638987578,0,,,,,1,1,,,,,,,,,,,
t_541174_b_27473_tn_10,13:19:00,13:19:00,2506393,3,,0,0,1162.98454362915,0,,,,,1,1,,,,,,,,,,,
t_541174_b_27473_tn_10,13:22:28,13:22:28,2506391,4,,0,0,1604.94361829504,0,,,,,1,1,,,,,,,,,,,
t_541174_b_27473_tn_10,13:27:00,13:27:00,2506389,5,,0,0,2180.88275218645,0,,,,,1,1,,,,,,,,,,,
t_541174_b_27473_tn_10,13:29:44,13:29:44,2506386,6,,0,0,2576.67630137966,0,,,,,1,1,,,,,,,,,,,
t_541174_b_27473_tn_10,13:31:12,13:31:12,2506394,7,,0,0,2790.87750692737,0,,,,,1,1,,,,,,,,,,,
