route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,scheduled_trip_id
RED,74,3238947_18359,"GLENMONT",0,,5,3238947
RED,74,3238945_18359,"GLENMONT",0,,5,3238945
RED,74,3239162_18359,"GLENMONT",0,,5,3239162
RED,74,3238964_18359,"GLENMONT",0,,5,3238964
RED,74,3238975_18359,"GLENMONT",0,,5,3238975
RED,74,3238994_18359,"GLENMONT",0,,5,3238994
RED,74,3239002_18359,"GLENMONT",0,,5,3239002
RED,74,3239053_18359,"GLENMONT",0,,5,3239053
RED,74,3239026_18359,"GLENMONT",0,,5,3239026
RED,74,3239024_18359,"GLENMONT",0,,5,3239024
RED,74,3239022_18359,"GLENMONT",0,,5,3239022
RED,74,3239191_18359,"GLENMONT",0,,5,3239191
RED,74,3239064_18359,"GLENMONT",0,,5,3239064
RED,74,3239168_18359,"GLENMONT",0,,5,3239168
RED,74,3239088_18359,"GLENMONT",0,,5,3239088
RED,74,3238844_18359,"GLENMONT",0,,5,3238844
RED,74,3239228_18359,"GLENMONT",0,,5,3239228
RED,74,3238846_18359,"GLENMONT",0,,5,3238846
RED,74,3239229_18359,"GLENMONT",0,,5,3239229
RED,74,3238845_18359,"GLENMONT",0,,5,3238845
RED,74,3239230_18359,"GLENMONT",0,,5,3239230
RED,74,3238849_18359,"GLENMONT",0,,5,3238849
RED,74,3238850_18359,"GLENMONT",0,,5,3238850
RED,74,3239181_18359,"GLENMONT",0,,5,3239181
RED,74,3238875_18359,"GLENMONT",0,,5,3238875
RED,74,3238911_18359,"GLENMONT",0,,5,3238911
RED,74,3238944_18359,"GLENMONT",0,,5,3238944
